iter	MultiClassOneVsAll
897	0.1644794481
898	0.1644565806
899	0.1644462703
900	0.1644372481
901	0.1644235252
902	0.164410706
903	0.1644056025
904	0.1643954141
905	0.1643903162
906	0.1643806702
907	0.1643667784
908	0.1643544952
909	0.1643429995
910	0.1643383648
911	0.1643283689
912	0.1643169547
913	0.1643059302
914	0.1643005357
915	0.1642882355
916	0.1642851744
917	0.1642812281
918	0.1642727025
919	0.164261256
920	0.1642515271
921	0.1642474201
922	0.1642373553
923	0.1642212968
924	0.1642133893
925	0.1642083663
926	0.1642016267
927	0.1641915628
928	0.1641871184
929	0.1641776935
930	0.1641656206
931	0.1641510989
932	0.1641465021
933	0.1641330399
934	0.1641259383
935	0.1641184393
936	0.1641106782
937	0.1641000097
938	0.1640921168
939	0.1640844704
940	0.1640782882
941	0.1640700359
942	0.1640576674
943	0.1640482495
944	0.1640442355
945	0.1640335721
946	0.1640277685
947	0.1640203975
948	0.1640084069
949	0.1639997799
950	0.1639945679
951	0.1639817184
952	0.1639725003
953	0.1639601557
954	0.1639517151
955	0.1639456632
956	0.1639356765
957	0.1639222392
958	0.1639185274
959	0.1639104416
960	0.1639005456
961	0.1638945181
962	0.1638762555
963	0.1638658621
964	0.1638563306
965	0.1638371591
966	0.1638290354
967	0.1638205841
968	0.1638118634
969	0.1638061109
970	0.1637958493
971	0.1637909951
972	0.1637818067
973	0.1637763886
974	0.1637644899
975	0.1637490507
976	0.1637434441
977	0.1637319958
978	0.1637257921
979	0.1637180768
980	0.1637067271
981	0.1636952529
982	0.1636823631
983	0.1636714742
984	0.1636671053
985	0.1636584452
986	0.1636495408
987	0.1636321106
988	0.1636230742
989	0.1636143692
990	0.1636068608
991	0.1635974953
992	0.1635924355
993	0.1635768509
994	0.1635694636
995	0.1635612563
996	0.1635572845
997	0.1635513309
998	0.1635447135
999	0.1635392836
